시지트로닉스,429270,반도체 제조업,특화반도체 소자,2023.8.3,12월,"심규환, 조덕호(공동대표이사)",http://sigetronics.com,전북특별자치도
에이엘티,172670,반도체 제조업,반도체 테스트 및 패키징(반도체 후공정),2023.7.27,12월,이덕형,http://alt-s.kr,충청북도
유안타제14호스팩,450940,금융 지원 서비스업,금융 지원 서비스,2023.7.27,12월,엄수열,,서울특별시
파로스아이바이오,388870,자연과학 및 공학 연구개발업,PHI-101 급성골수성백혈병 치료제 및 재발성난소암 치료제,2023.7.27,12월,윤정혁,http://www.pharosibio.com/,경기도
버넥트,438700,소프트웨어 개발 및 공급업,산업용 XR 솔루션,2023.7.26,12월,하태진,http://www.virnect.com,서울특별시
뷰티스킨,406820,기타 화학제품 제조업,"화장품 제조, 브랜드, 유통 사업",2023.7.24,12월,"김종수, 최범석",http://beautyskincorp.co.kr/,인천광역시
SK증권제9호스팩,455910,금융 지원 서비스업,기업인수목적회사,2023.7.21,12월,한현석,,서울특별시
와이랩,432430,"영화, 비디오물, 방송프로그램 제작 및 배급업",만화출판물의 제작 및 영상물 제작,2023.7.20,12월,심준경,http://ylabcomics.com,서울특별시
센서뷰,321370,절연선 및 케이블 제조업,"T&M 케이블, 초소형 전송선로",2023.7.19,12월,김병남,http://www.sensor-view.com,경기도
필에너지,378340,특수 목적용 기계 제조업,2차전지 제조장비,2023.7.14,12월,김광일,http://philenergy.co.kr,경기도
DB금융스팩11호,456440,기타 금융업,기업인수목적,2023.7.12,12월,김동식,,서울특별시
교보14호스팩,456490,금융 지원 서비스업,기업 인수 및 합병,2023.7.6,12월,박상연,,서울특별시
이노시뮬레이션,274400,소프트웨어 개발 및 공급업,"스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등",2023.7.6,12월,조준희,http://www.innosim.com,서울특별시
알멕,354320,1차 비철금속 제조업,알루미늄 압출 제품,2023.6.30,12월,신상호,http://www.almac.co.kr,경상남도
오픈놀,440320,소프트웨어 개발 및 공급업,미니인턴플랫폼(커리어 및 채용 플랫폼),2023.6.30,12월,권인택,http://openknowl.com,서울특별시
시큐센,232830,소프트웨어 개발 및 공급업,"디지털 금융 서비스 구축, 모바일 보안솔루션, 생체인증 전자서명",2023.6.29,12월,이정주,http://www.secucen.com/,서울특별시
하나29호스팩,454640,금융 지원 서비스업,기업인수합병,2023.6.28,12월,윤경순,,서울특별시
KB제25호스팩,455250,금융 지원 서비스업,기업인수합병,2023.6.23,12월,전현식,,서울특별시
엔에이치스팩29호,451700,금융 지원 서비스업,금융 지원 서비스업,2023.6.23,12월,박준우,,서울특별시
하이제8호스팩,450050,금융 지원 서비스업,기업인수합병,2023.6.22,12월,정우주,,서울특별시
프로티아,303360,의료용 기기 제조업,알레르기 진단 제품,2023.6.16,12월,임국진,http://www.protia.co.kr,서울특별시
큐라티스,348080,자연과학 및 공학 연구개발업,"백신 및 면역증강제 개발제조업, CMO/CDMO",2023.6.15,12월,조관구,http://quratis.com,서울특별시
마녀공장,439090,기타 화학제품 제조업,자연주의 기능성 화장품,2023.6.8,12월,유근직,http://www.manyo.co.kr,서울특별시
나라셀라,405920,음·식료품 및 담배 도매업,와인 도소매,2023.6.2,12월,마승철,http://www.naracellar.com/,경기도
